frame,25_x,25_y,25_z,25_visibility,26_x,26_y,26_z,26_visibility,27_x,27_y,27_z,27_visibility
68,0.7477622628211975,0.9441756010055542,-0.33484259247779846,0.8988165259361267,0.38532015681266785,0.9176047444343567,-0.5260995030403137,0.9480417370796204,0.7075979709625244,0.8713001608848572,1.3074935674667358,0.12507043778896332
69,0.7477781772613525,0.9447665810585022,-0.3642256259918213,0.8990594744682312,0.39533036947250366,0.9173222184181213,-0.5083727240562439,0.9444509148597717,0.7067831754684448,0.9291834235191345,1.2729777097702026,0.1327424943447113
70,0.7468835115432739,0.9380411505699158,-0.3251103162765503,0.902233362197876,0.41145896911621094,0.9098405838012695,-0.4249911308288574,0.9442921280860901,0.6922604441642761,0.9633313417434692,1.3167896270751953,0.15555481612682343
71,0.7396745085716248,0.9263764023780823,-0.3124420642852783,0.9036502838134766,0.43757423758506775,0.8931799530982971,-0.33786308765411377,0.9414826035499573,0.6768490076065063,0.9402222037315369,1.3162379264831543,0.16851335763931274
72,0.7368601560592651,0.9125367403030396,-0.22345823049545288,0.9039534330368042,0.4390791952610016,0.8755147457122803,-0.3225270211696625,0.9396095275878906,0.6733992695808411,0.9596084952354431,1.1075019836425781,0.18868499994277954
73,0.7333130836486816,0.9088202118873596,-0.13075029850006104,0.9059097170829773,0.4433708190917969,0.8695364594459534,-0.2319425642490387,0.9399718642234802,0.6741400361061096,0.9511106014251709,1.1694655418395996,0.21679651737213135
74,0.7288798093795776,0.9012265801429749,-0.12298530340194702,0.9095880389213562,0.4449641704559326,0.8569768667221069,-0.1832413673400879,0.9407572746276855,0.672594428062439,0.9469980001449585,1.1257518529891968,0.25507545471191406
75,0.7176595330238342,0.8864063620567322,-0.05829145014286041,0.915126383304596,0.44383704662323,0.8467634320259094,0.039374761283397675,0.9424753189086914,0.6622928977012634,0.9472196102142334,1.0470049381256104,0.30771031975746155
76,0.7241717576980591,0.877615213394165,0.13194593787193298,0.9211025834083557,0.4485960900783539,0.8408628702163696,0.004751089960336685,0.9456154108047485,0.660822868347168,0.9436514377593994,1.455182433128357,0.3658152222633362
77,0.7195459008216858,0.866560697555542,0.15372125804424286,0.9277889728546143,0.45550528168678284,0.8278365731239319,0.036819521337747574,0.9495752453804016,0.6524878144264221,0.9462838768959045,1.355955719947815,0.4257252514362335
78,0.7195667624473572,0.8533557653427124,0.06990636885166168,0.9339107275009155,0.4568025469779968,0.8211880922317505,0.04400024563074112,0.9531976580619812,0.6537168622016907,0.947757363319397,1.1396404504776,0.4790957272052765
79,0.7199572920799255,0.8499125838279724,0.020852038636803627,0.9394881725311279,0.457105427980423,0.8186197876930237,0.07490941137075424,0.9570435285568237,0.654556393623352,0.9548541903495789,1.0597084760665894,0.527759850025177
80,0.7186018228530884,0.846860945224762,0.013238870538771152,0.9449712038040161,0.4560985565185547,0.8145055174827576,0.18413415551185608,0.9606804251670837,0.6621564626693726,0.9622060060501099,0.7450324296951294,0.5733135342597961
